Topology,Host name,Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Packet Loss,Throughput (Gbps)
"star, k=16",h6,1,25,tcp,0,24.996436031263993
"star, k=16",h6,1,50,tcp,0,29.33946943755244
"star, k=16",h6,1,75,tcp,0,29.58042332883979
"star, k=16",h6,2,25,tcp,0,49.99349264714408
"star, k=16",h6,2,50,tcp,0,50.9311581068165
"star, k=16",h6,2,75,tcp,0,51.2917331734564
"star, k=16",h6,4,25,tcp,0,93.06429306215072
"star, k=16",h6,4,50,tcp,0,84.5012424121232
"star, k=16",h6,4,75,tcp,0,81.90688321345887
"star, k=16",h6,1,25,udp,1.1973346402640692,2.14032463547244
"star, k=16",h6,1,50,udp,5.96638471337072,2.3244871959082545
"star, k=16",h6,1,75,udp,4.779186559881182,2.331414552135545
"star, k=16",h6,2,25,udp,1.3299305903668954,4.541827598093042
"star, k=16",h6,2,50,udp,0.291987045444084,4.7053046299055135
"star, k=16",h6,2,75,udp,0.41109634556449137,4.6602052165392704
"star, k=16",h6,4,25,udp,0.8542415529376124,8.497101650666261
"star, k=16",h6,4,50,udp,1.7289641498127255,8.063642033113057
"star, k=16",h6,4,75,udp,0.536780030669474,8.111575969010458
"star, k=16",h6,1,25,quic,0,24.973979903776385
"star, k=16",h6,1,50,quic,0,29.58748512655454
"star, k=16",h6,1,75,quic,0,30.089154645884463
"star, k=16",h6,2,25,quic,0,49.9851444898524
"star, k=16",h6,2,50,quic,0,51.5169043559763
"star, k=16",h6,2,75,quic,0,51.61752081640378
"star, k=16",h6,4,25,quic,0,91.57620328635747
"star, k=16",h6,4,50,quic,0,85.75753238789284
"star, k=16",h6,4,75,quic,0,83.121821862621
"star, k=16",h7,1,25,tcp,0,24.998157177513534
"star, k=16",h7,1,50,tcp,0,28.32959897661504
"star, k=16",h7,1,75,tcp,0,29.501190741014224
"star, k=16",h7,2,25,tcp,0,49.98962405983764
"star, k=16",h7,2,50,tcp,0,52.72910154358948
"star, k=16",h7,2,75,tcp,0,52.10687707436675
"star, k=16",h7,4,25,tcp,0,92.25123439406771
"star, k=16",h7,4,50,tcp,0,83.602850528963
"star, k=16",h7,4,75,tcp,0,82.61199592437396
"star, k=16",h7,1,25,udp,0.6545085572267352,2.185208637371266
"star, k=16",h7,1,50,udp,1.132632489497001,2.4578027619015725
"star, k=16",h7,1,75,udp,2.471074054316221,2.438228619021956
"star, k=16",h7,2,25,udp,0.2897903984828475,4.6769510466968764
"star, k=16",h7,2,50,udp,1.04542103333527,4.610809727872244
"star, k=16",h7,2,75,udp,1.5504301424818256,4.663719974228401
"star, k=16",h7,4,25,udp,0.865162426946553,8.354584227046574
"star, k=16",h7,4,50,udp,0.7009418068075564,7.563530414399404
"star, k=16",h7,4,75,udp,2.3003043222179715,7.75381838884213
"star, k=16",h7,1,25,quic,0,24.994858755744545
"star, k=16",h7,1,50,quic,0,27.041227596821315
"star, k=16",h7,1,75,quic,0,27.184798918581677
"star, k=16",h7,2,25,quic,0,49.992896464565696
"star, k=16",h7,2,50,quic,0,56.25314815302865
"star, k=16",h7,2,75,quic,0,52.50525628515694
"star, k=16",h7,4,25,quic,0,91.90334604885891
"star, k=16",h7,4,50,quic,0,85.03361676671135
